N_Surface,Avg_total,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,FCC,HCP,ICOS
702,10.7835,0,0,0,22,120,50,470,40,1000,275,0
702,10.7854,0,0,0,22,100,70,490,20,1000,280,0
732,10676,0,0,12,168,72,96,168,96,1271,0,0
697,10.8131,0,0,0,22,67,135,451,22,1004,300,0
692,10.8205,0,0,0,22,110,80,450,30,1055,285,0
657,10826,0,0,0,22,120,160,320,35,1060,315,0
642,10.9441,0,0,0,12,0,210,420,0,700,630,1
732,10.7727,0,0,0,48,192,24,360,0,1331,0,0
712,10.8023,0,0,0,22,43,182,455,10,998,315,0
717,10.8172,0,0,0,22,110,65,490,30,1075,285,0
717,10.7975,0,0,0,12,26,226,450,3,992,315,0
737,10.7947,0,0,0,22,100,80,520,15,1060,300,0
732,10.8095,0,0,0,22,110,60,510,30,1080,285,0
732,10.7543,0,0,0,96,192,144,120,0,1397,0,0
672,10.8349,0,0,0,22,120,220,280,30,1120,350,0
752,10.7812,0,0,0,72,216,72,224,0,1414,0,0
732,10.8227,0,0,0,24,132,24,552,0,1439,0,0
798,10.6851,0,0,96,72,72,150,144,96,1374,0,0
762,10.7921,0,0,0,22,100,90,540,10,1090,315,0
794,10.6929,8,0,54,120,60,144,144,120,1385,0,0
697,10.8667,0,0,0,22,110,140,390,35,1140,340,0
677,10.8864,0,0,0,12,20,223,381,41,951,348,0
707,10.8561,0,0,0,22,120,120,410,35,1160,315,0
788,10.7125,0,0,24,96,240,144,8,24,1421,0,0
777,10.7841,0,0,0,22,100,100,550,5,1100,325,0
702,10.8758,0,0,0,12,27,222,410,31,1046,336,0
727,10.8556,0,0,0,22,110,110,460,25,1175,315,0
780,10.8101,0,0,0,24,132,0,624,0,1469,0,0
786,10808,0,0,6,0,156,0,624,0,1463,0,0
847,10.7235,0,0,5,2,80,230,530,0,1050,325,0
747,10.8667,0,0,0,22,120,90,480,35,1220,315,0
970,10.5617,4,0,0,49,77,150,690,0,1253,0,0
762,10.8581,0,0,0,22,110,85,520,25,1215,315,0
794,10.7531,8,0,30,120,108,96,192,168,1529,0,0
798,10759,0,0,0,168,144,54,192,144,1542,0,0
787,10852,0,0,0,22,110,70,560,25,1230,315,0
752,10.88,0,0,0,22,110,110,490,20,1245,340,0
864,10.7176,0,0,48,72,312,72,0,48,1494,0,0
778,10.8636,0,0,0,23,117,73,528,37,1236,323,0
732,10.8833,0,0,0,22,120,170,390,30,1270,350,0
799,10.8573,0,0,2,22,120,61,554,38,1259,315,0
752,10.8728,0,0,0,24,144,96,488,0,1654,0,0
767,10.8853,0,0,0,22,108,120,500,17,1269,360,0
908,10.7215,0,0,48,48,384,24,8,48,1523,0,0
772,10.9027,0,0,0,12,42,202,497,19,1230,360,0
797,10.8749,0,0,0,22,110,105,540,20,1305,340,0
938,10.7078,0,0,0,22,120,188,392,25,1523,0,0
747,10.8988,0,0,72,0,432,6,8,48,1320,380,0
942,10.7007,0,0,78,0,432,0,0,72,1518,0,0
752,10.9346,0,0,0,12,47,212,444,37,1220,372,0
872,10.7187,8,0,24,264,72,48,168,48,1638,0,0
882,10.7165,0,0,0,22,110,80,600,20,1633,0,0
832,10.87,0,0,48,240,84,54,168,24,1330,340,0
878,10.7122,0,0,0,22,120,130,480,30,1638,0,0
782,10.9062,8,6,24,264,72,24,192,48,1370,350,0
848,10.8531,0,0,0,48,216,24,440,0,1684,0,0
866,10.7788,0,6,0,216,84,96,176,144,1679,0,0
822,10.8871,0,0,0,22,53,176,555,16,1313,360,0
899,10.7321,5,9,30,222,123,36,174,30,1680,0,0
837,10.88,0,0,0,22,25,225,555,10,1305,375,0
842,10.8734,0,0,0,12,14,264,552,0,1287,375,0
822,10.9136,0,0,0,22,120,100,550,30,1430,350,0
867,10.8738,0,0,0,22,110,90,630,15,1390,360,0
848,10.8959,0,0,0,24,144,24,656,0,1804,0,0
807,10938,0,0,0,22,120,135,494,36,1460,380,0
876,10865,0,0,0,72,252,72,288,0,1799,0,0
852,10.9118,0,0,0,22,120,80,600,30,1460,350,0
892,10.8696,0,0,0,22,110,100,650,10,1420,375,0
872,10.9054,0,0,0,22,120,70,630,30,1470,350,0
896,10.8835,0,0,0,24,144,0,728,0,1834,0,0
907,10.8622,0,0,0,22,110,110,660,5,1430,385,0
902,10.8816,0,0,6,0,168,0,728,0,1828,0,0
942,10793,0,0,78,120,96,144,192,120,1806,0,0
938,10.7874,0,0,96,120,48,198,152,144,1823,0,0
857,10.9354,0,0,0,22,120,130,560,25,1550,380,0
982,10.8092,0,0,5,2,85,250,640,0,1375,376,0
812,11.0547,0,0,0,12,0,240,560,0,1120,840,1
897,10.9374,0,0,0,22,120,100,630,25,1600,380,0
972,10.7872,0,0,24,296,88,24,216,64,1895,0,0
974,10.7586,0,0,48,336,0,30,272,24,1926,0,0
882,10.9593,0,0,0,22,114,126,594,26,1620,405,0
1154,10.6694,4,0,0,47,91,174,838,0,1680,0,0
927,10.9317,0,0,0,22,120,80,680,25,1620,380,0
938,10.8535,0,0,12,168,144,102,248,144,2003,0,0
942,10.8391,0,0,30,168,144,96,192,216,1998,0,0
1020,10.8069,0,0,48,72,396,72,0,48,1927,0,0
